CD_GEOCMU,year,number,rate
1100015,2000,0,"0,00"
1100015,2001,0,"0,00"
1100023,2000,0,"0,00"
1100023,2001,0,"0,00"
1200013,2000,0,"0,00"
1200013,2001,0,"0,00"
1200054,2000,0,"0,00"
1200054,2001,0,"0,00"
1200401,2007,1,"0,31"
1200401,2008,2,"0,66"
