Id,COD UF,UF,REGIAO,COD 6num,CD_GEOCMU,NM_MUNICIP,biome,year,seq,number,pop,rate,rate_n,analf,san,pob,vuln,rural,migr,ab,med,esf,tmi,temp,prec,ndvi,ndwi
BA-2010,29,BA,NE,290240,2902401,Aurelino Leal,4,2010,1857,0,13595,0.0,0.0,26.72 ,13.7 ,47.6,6.3,16,3,9,8,2,25.8,28.55211703,1110.285381,0.770539457,0.60286634
BA-2010,29,BA,NE,290250,2902500,Baianópolis,3,2010,1858,27,13850,194.9,194.9,30.62 ,12.7 ,42.77,3.3,75,6,5,9,0,25,30.99900147,912.3748785,0.635543485,0.412772102
BA-2010,29,BA,NE,290260,2902609,Baixa Grande,2,2010,1859,132,20060,658.0,658.0,25.56 ,32.6 ,40.4,15.9,58,2,11,14,1,23.1,32.27926005,743.7065281,0.658714155,0.417899999
BA-2010,29,BA,NE,290265,2902658,Banzaê,2,2010,1860,14,11814,118.5,118.5,26.34 ,1.5 ,57.55,0.7,66,3,6,2,0,24,31.30686028,684.6578472,0.682754499,0.453157159
BA-2010,29,BA,NE,290270,2902708,Barra,2,2010,1861,375,49325,760.3,760.3,23.59 ,32.5 ,38.8,21.5,55,4,25,22,2,27.4,33.60241903,704.3029261,0.555156518,0.290566101
BA-2010,29,BA,NE,290280,2902807,Barra da Estiva,2,2010,1862,3,21187,14.2,14.2,18.03 ,19.6 ,29.9,5.7,51,3,10,19,1,34,30.24915579,688.0139253,0.56285027,0.286709956
BA-2010,29,BA,NE,290290,2902906,Barra do Choça,4,2010,1863,6,34788,17.2,17.2,27.71 ,13.7 ,40.74,7.6,36,4,18,30,2,23.8,30.04907925,744.0276652,0.693535139,0.459706268
BA-2010,29,BA,NE,290300,2903003,Barra do Mendes,2,2010,1864,505,13987,3610.5,3610.5,14.75 ,17.6 ,33.67,3.0,55,5,17,6,3,21.6,29.11979023,755.3700146,0.578868172,0.296301588
BA-2010,29,BA,NE,290310,2903102,Barra do Rocha,4,2010,1865,22,6313,348.5,348.5,26.79 ,30.5 ,15.3,14.1,40,2,7,3,,36.4,27.21730359,1095.592461,0.80694961,0.644834311
BA-2010,29,BA,NE,290320,2903201,Barreiras,3,2010,1866,232,137427,168.8,168.8,10.33 ,6.4 ,42.71,2.6,10,15,52,205,0,18.1,33.12792701,1040.016893,0.538370815,0.285409794
BA-2010,29,BA,NE,290323,2903235,Barro Alto,2,2010,1867,191,13612,1403.2,1403.2,18.21 ,5.0 ,29.73,1.4,51,5,12,5,4,29.4,34.12388656,677.3299919,0.433654777,0.07065543
BA-2010,29,BA,NE,290327,2903276,Barrocas,2,2010,1868,256,14191,1804.0,1804.0,19.7 ,17.2 ,30.67,7.0,60,1,13,7,0,21.2,34.62176622,590.8973449,0.560846281,0.269531367
BA-2010,29,BA,NE,290330,2903300,Barro Preto,4,2010,1869,6,6453,93.0,93.0,26.31 ,18.8 ,32.38,13.4,18,2,6,12,,28.6,26.67077228,1259.958342,0.841567563,0.706153579
BA-2010,29,BA,NE,290340,2903409,Belmonte,4,2010,1870,1,21798,4.6,4.6,24.76 ,14.5 ,37.4,7.4,48,3,19,23,2,23.7,27.45768231,1532.614226,0.731387222,0.589079166
